u,v,name,highway,length,geometry_wkt
13865230428,13865230429,Victoria Lane,footway,33.22414770011857,"LINESTRING (144.9569286 -37.8166441, 144.9568017 -37.8163622)"
13865230429,6167413282,Victoria Lane,footway,17.302039094764854,"LINESTRING (144.9568017 -37.8163622, 144.9567356 -37.8162154)"
6721990373,11961603229,Menzies Lane,footway,1.675612534990023,"LINESTRING (144.9591829 -37.8164575, 144.9591768 -37.8164432)"
11961603229,13660681378,Menzies Lane,footway,39.66374799183436,"LINESTRING (144.9591768 -37.8164432, 144.959021 -37.8161079)"
13660681378,11961603228,Menzies Lane,footway,35.247478081933956,"LINESTRING (144.959021 -37.8161079, 144.9586441 -37.8162149)"
11961603228,6696357522,Menzies Lane,footway,2.5189058420736856,"LINESTRING (144.9586441 -37.8162149, 144.9586171 -37.8162224)"
6804242134,592661547,Galleria Arcade,footway,3.4282286862801743,"LINESTRING (144.9625631 -37.814541, 144.9625765 -37.81457)"
123087066,6722694969,Bourke Place,pedestrian,5.80766263912123,"LINESTRING (144.95569 -37.8152845, 144.9557121 -37.8153338)"
6722694969,13763328019,Bourke Place,pedestrian,3.5117364212975937,"LINESTRING (144.9557121 -37.8153338, 144.9557255 -37.8153636)"
13763328019,13763328018,Bourke Place,pedestrian,34.37138495458994,"LINESTRING (144.9557255 -37.8153636, 144.9558569 -37.8156552)"
11140069325,161467170,Rostella Way,pedestrian,2.6878815212196483,"LINESTRING (144.9581862 -37.8129033, 144.9581746 -37.8128809)"
161467170,6725404949,Rostella Way,pedestrian,49.37175441890836,"LINESTRING (144.9581746 -37.8128809, 144.9579774 -37.8124645)"
6725404949,161467106,Rostella Way,pedestrian,4.860770363293028,"LINESTRING (144.9579774 -37.8124645, 144.957958 -37.8124235)"
1492145822,2291074004,,footway,4.28785707687536,"LINESTRING (144.9526704 -37.8128773, 144.9526887 -37.8129131)"
2291074004,6167278773,,footway,2.548876544851719,"LINESTRING (144.9526887 -37.8129131, 144.9526978 -37.8129349)"
6167278773,163350993,,footway,2.017185274894013,"LINESTRING (144.9526978 -37.8129349, 144.9527059 -37.8129519)"
163350993,13481539312,,footway,6.387996916923302,"LINESTRING (144.9527059 -37.8129519, 144.952726 -37.8130072)"
13481539312,163351015,,footway,87.62595532294407,"LINESTRING (144.952726 -37.8130072, 144.9530834 -37.813744)"
163351015,6725404926,,footway,4.126769097238984,"LINESTRING (144.9530834 -37.813744, 144.9530999 -37.8137788)"
6725404926,163350975,,footway,4.6832384670841805,"LINESTRING (144.9530999 -37.8137788, 144.9531186 -37.8138183)"
164086214,6167417917,Langs Lane,footway,31.292954850371736,"LINESTRING (144.9546677 -37.8162776, 144.9547765 -37.816546)"
6167417917,2177115301,Langs Lane,footway,3.9878254362094343,"LINESTRING (144.9547765 -37.816546, 144.9547947 -37.8165789)"
131221774,6520298105,Hardware Lane,pedestrian,3.448595551918047,"LINESTRING (144.9612547 -37.8136835, 144.961236 -37.8136562)"
6520298105,13866690746,Hardware Lane,pedestrian,3.153986054053116,"LINESTRING (144.961236 -37.8136562, 144.9612234 -37.8136296)"
13866690746,131221827,Hardware Lane,pedestrian,73.89686132071152,"LINESTRING (144.9612234 -37.8136296, 144.9609387 -37.8130033)"
13780588561,174801866,Howey Place,pedestrian,28.295107680468224,"LINESTRING (144.9651981 -37.8148336, 144.9653075 -37.8150733)"
174801866,174801936,Howey Place,pedestrian,12.479008511328592,"LINESTRING (144.9653075 -37.8150733, 144.9653551 -37.8151792)"
174801936,174796849,Howey Place,pedestrian,12.47938583448667,"LINESTRING (144.9653551 -37.8151792, 144.965402 -37.8152853)"
174796849,13780588554,Howey Place,pedestrian,5.621648698845412,"LINESTRING (144.965402 -37.8152853, 144.9654627 -37.8152696)"
13780588554,4451159326,Howey Place,pedestrian,1.8650453529519337,"LINESTRING (144.9654627 -37.8152696, 144.9654828 -37.8152643)"
